"jackiecahillff","Fianna Fail"
"hollycairnstd","Social Democrat"
"daracalleary","Fianna Fail"
"seancanney","Independent"
"ciarancannon","Fine Gael"
"joecareytd","Fine Gael"
"carrolljennifer","Fine Gael"
"mattcarthy","Sinn Fein"
"jackfchambers","Fianna Fail"
"sorcaclarke_td","Sinn Fein"
"joancollinstd","Independent"
"michaelc_ind_td","Independent"
"niallcollinstd","Fianna Fail"
"conwaywalsh","Sinn Fein"
"costellop","Green"
"creedcnw","Fine Gael"
"readacronin","Sinn Fein"
"cathalcrowetd","Fianna Fail"
"seancrowetd","Sinn Fein"
"davidcullinane","Sinn Fein"
"alan_dillon","Fine Gael"
"fnduffy","Gren"
"bernarddurkantd","Fine Gael"
"damien_english","Fine Gael"
"alanfarrell","Fine Gael"
"farrell_mairead","Sinn Fein"
"michaelfitzmau1","Independent"
